subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
149,1,6,54,true,samesize,false,false,2,5,blue,small,wug,16,23,big,2/20/2020,20:37,30375,17021,6,3,0,stim-images/object23bluesmall.jpg,small,"0
"
149,2,2,75,true,contrast,true,false,0,20,red,big,blicket,4,9,small,2/20/2020,20:38,18162,11656,4,5,6,stim-images/object20redbig.jpg,big,"0
"
149,3,3,20,false,differentsizes,true,false,0,13,blue,small,toma,8,15,big,2/20/2020,20:38,27055,8140,6,3,0,stim-images/object13bluesmall.jpg,small,"0
"
149,4,5,85,false,samesize,false,false,2,22,red,big,sprock,10,19,small,2/20/2020,20:39,13917,8537,5,1,0,stim-images/object19redbig.jpg,big,"0
"
149,5,4,30,true,differentsizes,true,false,0,24,green,big,gade,3,17,small,2/20/2020,20:39,9887,6737,6,3,0,stim-images/object24greenbig.jpg,big,"0
"
149,6,0,30,true,attncheck,true,false,0,24,green,big,gade,3,17,small,2/20/2020,20:39,9887,6737,6,3,0,stim-images/object24greenbig.jpg,big,"8
"
103,1,2,60,true,contrast,false,true,1,20,purple,big,blicket,14,23,small,2/20/2020,21:34,24561,11823,6,4,5,stim-images/object14purplebig.jpg,big,"0
"
103,2,6,50,true,samesize,true,false,0,6,green,big,sprock,24,9,small,2/20/2020,21:34,22199,6106,5,1,0,stim-images/object6greenbig.jpg,big,"0
"
103,3,3,35,false,differentsizes,true,false,0,10,red,big,gade,1,13,small,2/20/2020,21:35,19196,12034,6,2,0,stim-images/object10redbig.jpg,big,"0
"
103,4,5,45,false,samesize,true,false,0,19,red,small,toma,4,2,big,2/20/2020,21:35,16198,5305,5,1,0,stim-images/object19redsmall.jpg,small,"0
"
103,5,4,50,true,differentsizes,true,false,0,18,green,big,wug,16,17,small,2/20/2020,21:35,12340,7165,4,2,0,stim-images/object18greenbig.jpg,big,"0
"
103,6,0,50,true,attncheck,true,false,0,18,green,big,wug,16,17,small,2/20/2020,21:35,12340,7165,4,2,0,stim-images/object18greenbig.jpg,big,"8
"
200,1,5,80,false,samesize,false,false,1,8,red,big,wug,7,23,small,2/20/2020,20:40,21521,9622,4,3,0,stim-images/object7redbig.jpg,big,"0
"
200,2,6,50,true,samesize,false,false,1,24,blue,small,toma,1,2,big,2/20/2020,20:40,15589,9240,6,3,0,stim-images/object1bluesmall.jpg,small,"0
"
200,3,4,70,true,differentsizes,true,false,0,15,purple,big,blicket,21,19,small,2/20/2020,20:41,26495,12397,5,3,0,stim-images/object15purplebig.jpg,big,"0
"
200,4,3,75,false,differentsizes,false,false,1,3,blue,big,sprock,16,20,small,2/20/2020,20:41,10760,6399,6,3,0,stim-images/object16bluesmall.jpg,small,"0
"
200,5,2,25,true,contrast,false,true,1,9,red,small,gade,13,12,big,2/20/2020,20:41,9159,9677,4,6,5,stim-images/object13redsmall.jpg,small,"0
"
200,6,0,25,true,attncheck,false,true,1,9,red,small,gade,13,12,big,2/20/2020,20:41,9159,9677,4,6,5,stim-images/object13redsmall.jpg,small,"7
"
185,1,5,70,false,samesize,true,false,0,20,purple,big,sprock,23,13,small,2/20/2020,20:38,19306,10256,5,1,0,stim-images/object20purplebig.jpg,big,"0
"
185,2,4,25,true,differentsizes,true,false,0,5,purple,big,gade,7,17,small,2/20/2020,20:39,27809,6899,6,2,0,stim-images/object5purplebig.jpg,big,"0
"
185,3,3,70,false,differentsizes,true,false,0,18,purple,small,blicket,12,10,big,2/20/2020,20:39,12204,3364,5,3,0,stim-images/object18purplesmall.jpg,small,"0
"
185,4,2,25,true,contrast,true,false,0,19,blue,big,wug,8,11,small,2/20/2020,20:39,9940,5177,4,5,6,stim-images/object19bluebig.jpg,big,"0
"
185,5,6,25,true,samesize,false,false,2,2,blue,big,toma,14,9,small,2/20/2020,20:40,12356,3989,4,1,0,stim-images/object9bluebig.jpg,big,"0
"
185,6,0,25,true,attncheck,false,false,2,2,blue,big,toma,14,9,small,2/20/2020,20:40,12356,3989,4,1,0,stim-images/object9bluebig.jpg,big,"8
"
77,1,3,30,false,differentsizes,false,false,1,8,green,small,toma,3,15,big,2/20/2020,21:28,19341,8435,5,2,0,stim-images/object3greenbig.jpg,big,"0
"
77,2,5,18,false,samesize,true,false,0,7,blue,small,wug,23,2,big,2/20/2020,21:28,16885,7792,5,3,0,stim-images/object7bluesmall.jpg,small,"0
"
77,3,6,33,true,samesize,false,false,1,1,red,big,gade,10,16,small,2/20/2020,21:28,14388,7219,4,3,0,stim-images/object10redbig.jpg,big,"0
"
77,4,4,40,true,differentsizes,true,false,0,17,purple,big,sprock,12,5,small,2/20/2020,21:29,19322,5684,6,3,0,stim-images/object17purplebig.jpg,big,"0
"
77,5,2,25,true,contrast,true,false,0,11,purple,big,blicket,14,24,small,2/20/2020,21:29,16578,5520,5,4,6,stim-images/object11purplebig.jpg,big,"0
"
77,6,0,25,true,attncheck,true,false,0,11,purple,big,blicket,14,24,small,2/20/2020,21:29,16578,5520,5,4,6,stim-images/object11purplebig.jpg,big,"7
"
155,1,6,25,true,samesize,true,false,0,6,blue,big,sprock,5,15,small,2/20/2020,19:48,14650,7312,4,3,0,stim-images/object6bluebig.jpg,big,"0
"
155,2,3,78,false,differentsizes,false,false,1,21,blue,big,blicket,7,16,small,2/20/2020,19:48,15143,4639,4,1,0,stim-images/object7bluesmall.jpg,small,"0
"
155,3,5,19,false,samesize,false,false,2,17,purple,big,toma,8,24,small,2/20/2020,19:48,10938,2928,6,2,0,stim-images/object24purplebig.jpg,big,"0
"
155,4,2,27,true,contrast,false,true,1,18,red,big,wug,23,10,small,2/20/2020,19:49,12710,3127,6,4,5,stim-images/object23redbig.jpg,big,"0
"
155,5,4,47,true,differentsizes,true,false,0,12,green,small,gade,11,4,big,2/20/2020,19:49,8534,5218,6,2,0,stim-images/object12greensmall.jpg,small,"0
"
155,6,0,47,true,attncheck,true,false,0,12,green,small,gade,11,4,big,2/20/2020,19:49,8534,5218,6,2,0,stim-images/object12greensmall.jpg,small,"7
"
15,1,5,55,false,samesize,false,false,2,13,blue,big,toma,2,15,small,2/20/2020,19:53,28088,17415,4,2,0,stim-images/object15bluebig.jpg,big,"0
"
15,2,6,83,true,samesize,true,false,0,1,green,big,sprock,19,10,small,2/20/2020,19:53,18557,6642,4,3,0,stim-images/object1greenbig.jpg,big,"0
"
